formant,phoneme,mean,sd,median,min,max,skew,kurt
f0,a,139.616,43.95,115.71,82.695,222.979,0.53,1.72
f0,e,148.088,46.81,121.591,87.989,234.477,0.38,1.47
f0,i,152.143,44.38,146.507,90.596,260.318,0.27,1.7
f0,o,148.396,44.75,122.729,97.61,261.951,0.51,1.87
f0,u,152.808,46.99,142.491,94.72,231.155,0.34,1.6
f0,ɐ,152.28,51.8,119.86,88.714,269.39,0.44,1.53
f0,ə,166.875,67.02,128.297,86.96,392.412,0.56,2.36
f0,ə̝,169.091,64.74,134.71,89.531,298.209,0.45,1.68
f0,ə̝ᶷ,177.4,76.79,170.494,102.358,266.253,0.16,1.32
f0,əᶷ,205.066,81.51,226.09,109.856,296.762,-0.16,1.37
f0,ɨ,156.108,47.96,142.434,109.411,224.532,0.48,1.72
f0,ɨ̞,152.865,53.88,116.038,113.185,228.235,0.57,1.52
f0,ɪ,152.355,50.07,120.969,95.903,233.913,0.42,1.33
f0,ʊ,153.845,53.49,121.917,98.081,244.291,0.49,1.5
f1,a,745.857,177.12,748.14,283.61,1580.286,2,12.35
f1,e,473.266,99.55,460.525,171.113,679.778,-0.14,3.25
f1,i,312.158,43.54,305.661,227.588,427.69,0.62,2.88
f1,o,510.223,79.26,505.074,279.806,746.007,-0.14,3.72
f1,u,394.283,83.11,389.993,226.878,645.357,0.69,4.21
f1,ɐ,604.198,109.74,607.283,277.178,859.395,-0.38,3.25
f1,ə,562.492,108.88,556.793,273.457,846.136,0.14,2.87
f1,ə̝,427.099,111.29,406.361,260.427,710.543,0.64,2.59
f1,ə̝ᶷ,414.393,95.87,417.958,297.438,521.465,-0.08,1.43
f1,əᶷ,429.159,157.59,380.104,297.98,684.246,0.91,2.39
f1,ɨ,364.536,50.81,362.946,294.091,422.536,-0.24,1.8
f1,ɨ̞,476.141,24.98,483.855,439.341,504.829,-0.46,2.05
f1,ɪ,398.752,78.93,404.065,251.159,625.603,0.5,3.05
f1,ʊ,409.832,89.49,422.781,190.436,593.579,-0.57,3.7
f2,a,1358.177,242.67,1313.413,879.945,2496.848,1.69,8.28
f2,e,2075.329,296.26,2073.126,1320.263,2691.519,-0.07,2.87
f2,i,2465.005,226.96,2450.938,1966.512,2989.795,-0.04,2.04
f2,o,1018.46,477.35,858.785,542.018,2579.634,1.94,5.76
f2,u,1292.378,680.2,908.658,532.549,2578.729,0.69,1.88
f2,ɐ,1457.019,371.75,1437.963,774.011,2438.779,0.4,2.61
f2,ə,1429.058,336.78,1467.336,725.192,2387.196,0.12,2.76
f2,ə̝,1975.968,324.43,1938.281,925.626,2768.903,-0.28,3.64
f2,ə̝ᶷ,1424.511,445.3,1330.026,980.851,1902.898,0.17,1.25
f2,əᶷ,1005.477,537.45,778.811,688.628,1959.604,1.44,3.17
f2,ɨ,1789.654,214.94,1745.346,1556.236,2141.521,0.86,2.68
f2,ɨ̞,1410.277,176.6,1453.109,1209.585,1615.584,-0.11,1.38
f2,ɪ,1993.219,400.87,1972.817,1168.282,2723.749,0.03,2.19
f2,ʊ,1279.488,573.97,1112.907,577.143,2383.432,0.51,1.98
f3,a,2482.758,350.31,2406.168,1772.248,3911.632,1.67,7.71
f3,e,2703.484,285.29,2701.207,2023.453,3358.182,0.15,2.72
f3,i,3161.014,336.06,3159.287,2511,3926.613,-0.02,2.43
f3,o,2621.211,323.57,2557.831,2151.862,3899.439,1.49,5.68
f3,u,2822.253,431.48,2809.659,2177.953,3756.399,0.36,2.25
f3,ɐ,2543.465,297.88,2527.564,1755.474,3967.955,1.14,7.43
f3,ə,2608.445,345.51,2566.054,1878.095,3644.19,0.52,3.5
f3,ə̝,2714.243,286.15,2700.234,1981.043,3450.393,0.33,2.81
f3,ə̝ᶷ,2797.903,432.66,2678.051,2250.795,3249.832,-0.01,1.5
f3,əᶷ,2748.341,306.76,2611.808,2520.788,3281.147,1.29,2.97
f3,ɨ,2678.064,435.4,2490.208,2349.884,3437.604,1.32,3.02
f3,ɨ̞,2693.322,272.31,2685.646,2453.901,3131.699,0.84,2.41
f3,ɪ,2753.572,372.42,2633.621,2155.243,3890.257,0.93,3.22
f3,ʊ,2653.527,361.98,2554.795,2253.773,3679.211,1.34,4.44
