pairs,diff,lwr,upr,p adj
I-S,-1.4569650015343143,-5.606949568326845,2.6930195652582167,0.9169566067200043
R-S,-0.2332109297485374,-2.296854036237554,1.8304321767404792,0.9995341850017396
T-S,-3.75534592427519,-6.533046882490105,-0.9776449660602751,0.001691971185636687
F-S,-4.887304097083742,-7.077619997145391,-2.6969881970220935,0
O-S,-1.3481915976573333,-7.0985788939064385,4.402195698591772,0.9851775337968951
R-I,1.2237540717857769,-3.1035332159774525,5.551041359549006,0.9660832399222218
T-I,-2.2983809227408756,-7.008202046005077,2.4114402005233257,0.7306023073321875
F-I,-3.430339095549428,-7.819447905084738,0.9587697139858822,0.2238622736596172
O-I,0.10877340387698098,-6.785698762775133,7.003245570529095,0.9999999738495987
T-R,-3.5221349945266525,-6.558360608589135,-0.4859093804641694,0.012322510745014004
F-R,-4.654093167335205,-7.164178247224713,-2.1440080874456964,2.2841296325459837e-6
O-R,-1.114980667908796,-6.994606287204989,4.764644951387397,0.9944163988023174
F-T,-1.1319581728085524,-4.255662200176116,1.991745854559011,0.9059642661266761
O-T,2.4071543266178566,-3.759449046827898,8.573757700063611,0.8751280224891531
O-F,3.539112499426409,-2.386160346121496,9.464385344974314,0.5278805790717107
